res_id,name,establishment,url,address,city,locality,latitude_res,longitude_res,locality_verbose,cuisines,timings,average_cost_for_two,highlights,aggregate_rating,rating_text,fclass,name.1,latitude_uni,longitude_uni,proximity
18627369,Biergarten,Pub,https://www.zomato.com/bangalore/biergarten-koramangala-5th-block?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4th B Cross, Koramangala 5th Block, Bangalore",Bangalore,Koramangala 5th Block,12.93342671,77.61438388,"Koramangala 5th Block, Bangalore","Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",2100,"['Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'LGBTQIA Friendly', 'Wifi', 'Live Entertainment', 'Nightlife', 'Valet Parking Available', 'Fullbar', 'Outdoor Seating', 'Indoor Seating', 'Serves Cocktails', 'Live Sports Screening', 'Sports TV', 'Craft Beer', 'Gastro Pub', 'Live Music', 'Rooftop', 'Available for Functions']",4.9,Excellent,school,"A E T School Sree Annapoornesh, Kothanur",12.8755011,77.5806222,7.407933938616913
18706428,Byg Brewski Brewing Company,Microbrewery,https://www.zomato.com/bangalore/byg-brewski-brewing-company-hennur-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"22/123, Byrathi Village, Bidarahalli Hobli, Hennur, Bangalore",Bangalore,Hennur,13.07066998,77.65280586,"Hennur, Bangalore","Finger Food, Fast Food, North Indian, Italian",12:30 PM to 1 AM,1600,"['Dinner', 'Cash', 'Lunch', 'Credit Card', 'Debit Card', 'DJ', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Brunch', 'Nightlife', 'Fullbar', 'Live Music', 'Table booking recommended']",4.7,Excellent,school,"A V S Convent, Madiwala",12.9237085,77.6116936,16.937582573696503
18782265,The Bangalore Cafe,Casual Dining,https://www.zomato.com/bangalore/the-bangalore-cafe-1-shanti-nagar-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4, KH Road, Double Road, Shanti Nagar, Bangalore",Bangalore,Shanti Nagar,12.96164828,77.59451576,"Shanti Nagar, Bangalore","Modern Indian, North Indian, Pizza, Continental, Beverages","12 Noon to 12 Midnight (Mon-Thu), 12 Noon to 1 AM (Fri-Sun)",800,"['Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Free Parking', 'Indoor Seating', 'Table booking for Groups', 'Available for Functions', 'Disabled Friendly', 'Private Dining Area Available', 'Wifi', 'Serves Jain Food', 'Outdoor Seating', 'Free Wifi', 'Table reservation required', 'Air Conditioned', 'Wheelchair Accessible', 'Pure Veg', 'Desserts and Bakes']",4.6,Excellent,school,à²¤à²¾à²¯à²¿ à²¤à³†à²°à³‡à²¸à²¾ à²¶à²¾à²²à³†,13.0434224,77.55106001,10.239484995733767
18811668,Stories - The Brew Chapter,Bar,https://www.zomato.com/bangalore/stories-the-brew-chapter-btm-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"348/1/2, Survey 62, 29th Main, 2nd Stage, Lake Road, BTM, Bangalore",Bangalore,BTM,12.905777,77.608377,"BTM, Bangalore","Bar Food, Continental, Chinese, Italian",12 Noon to 1 AM,2000,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Debit Card', 'DJ', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Rooftop', 'Sneakpeek', 'Live Entertainment', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Smoking Area']",4.8,Excellent,college,Aavishkar Academy,13.02838877,77.62773114,13.794163342779317
57833,Big Pitcher,Pub,https://www.zomato.com/bangalore/big-pitcher-airport-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4121, LR Arcade, Old Airport Road, Bangalore",Bangalore,Old Airport Road,12.96013844,77.64692377,"Old Airport Road, Bangalore","American, Continental, North Indian, Mediterranean",11am â€“ 1am (Mon-Sun),1800,"['Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Live Sports Screening', 'Valet Parking Available', 'Fullbar', 'Live Music', 'Table reservation required', 'Air Conditioned', 'Smoking Area', 'Buffet', 'Nightlife', 'Craft Beer', 'Outdoor Seating', 'Rooftop', 'Digital Payments Accepted', 'Wifi']",4.8,Excellent,college,Abbas Khan College,13.08485743,77.54897137,17.46232082768593
18843699,The Bier Library,Microbrewery,https://www.zomato.com/bangalore/the-bier-library-koramangala-6th-block-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"14, Patel Narayana Reddy Layout, 80 Feet Main Road, Koramangala 6th Block, Bangalore",Bangalore,Koramangala 6th Block,12.939076,77.626065,"Koramangala 6th Block, Bangalore","Continental, North Indian, Pizza, BBQ",12 Noon to 1 AM,2000,"['Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Air Conditioned', 'Desserts and Bakes', 'Live Entertainment', 'Nightlife', 'Fullbar', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Available for Functions', 'Sneakpeek', 'Smoking Area', 'Live Sports Screening', 'Valet Parking Available', 'Gastro Pub', 'Live Music', 'Serves Cocktails']",4.4,Very Good,school,Abhayadhama Human Development Center,12.97788761,77.74819282,13.920042367920002
58882,Byg Brewski Brewing Company,Microbrewery,https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Behind MK Retail, Sarjapur Road, Bangalore",Bangalore,Sarjapur Road,12.91293443,77.68290594,"Sarjapur Road, Bangalore","Continental, North Indian, Italian, South Indian, Finger Food, Pizza",Mon-Sun (12:30 PM to 1 AM),1600,"['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Nightlife', 'Fullbar', 'Live Music', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted', 'Wifi', 'Brunch']",4.9,Excellent,college,Academic Block Sapthagiri College,13.0682855,77.5044244,25.930096374241604
18871246,ShakesBierre,Microbrewery,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Level 5, Eva Mall, Brigade Road, Bangalore",Bangalore,"Eva Mall, Brigade Road",12.97103679,77.60702558,"Eva Mall, Brigade Road, Bangalore","Asian, Continental, European, North Indian","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",2000,"['Dinner', 'Debit Card', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Table booking recommended', 'LGBTQIA Friendly', 'Smoking Area', 'Vegan Options', 'DJ', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Serves Cocktails', 'Free Wifi', 'Air Conditioned', 'Sneakpeek', 'Live Entertainment', 'Nightlife', 'Fullbar', 'Live Music', 'Rooftop']",4.6,Excellent,college,Acharya Bangalore Business School,13.04735984,77.59682269,8.55842138124122
18254597,Brew and Barbeque - A Microbrewery Pub,Microbrewery,https://www.zomato.com/bangalore/brew-and-barbeque-a-microbrewery-pub-marathahalli-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"36/4, Fourth Floor, Soul Space Arena, Outer Ring Road, Doddanekkundi Village, Marathahalli, Bangalore",Bangalore,"Soul Space Arena Mall, Marathahalli",12.98016586,77.69337125,"Soul Space Arena Mall, Marathahalli, Bangalore","Continental, North Indian, BBQ, Steak","12:30 PM to 11:30 PM (Mon-Tue), 12:30 PM to 1 AM (Wed-Sat), 12:30 PM to 12:30 AM (Sun)",1400,"['Dinner', 'Credit Card', 'Debit Card', 'Lunch', 'Mall Parking', 'Cash', 'Delivery', 'Live Entertainment', 'Nightlife', 'Valet Parking Available', 'Fullbar', 'Beer', 'Indoor Seating', 'Air Conditioned', 'LGBTQIA Friendly', 'Smoking Area', 'Wifi', 'Live Sports Screening', 'Pool Table', 'Craft Beer', 'Outdoor Seating', 'Live Music', 'Serves Cocktails', 'Table reservation required', 'Wheelchair Accessible', 'Buffet']",4.9,Excellent,college,Acharya graduate studies,13.0836189,77.4841495,25.417341389061118
18422898,Hoot,Microbrewery,https://www.zomato.com/bangalore/hoot-sarjapur-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore",Bangalore,Sarjapur Road,12.91411089,77.67840721,"Sarjapur Road, Bangalore","Continental, Italian, North Indian","12 Noon to 12:30 AM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",1400,"['Debit Card', 'Lunch', 'Serves Alcohol', 'Takeaway Available', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'DJ', 'Nightlife', 'Craft Beer', 'Outdoor Seating', 'Beer', 'Romantic Dining', 'LGBTQIA Friendly', 'Hookah', 'Wheelchair Accessible', 'Live Entertainment', 'Valet Parking Available', 'Fullbar', 'Wine', 'Indoor Seating', 'Serves Cocktails', 'Table booking recommended', 'Smoking Area']",4.5,Excellent,college,Acharya Institute of Technology,12.8907223,77.6673259,2.864643568020653
